INDEX	CODE	SHORT OPENING	OPENING	ORG		
170	B13	Caro-Kann		Caro-Kann	Panov-Botvinnik, Reifir (Spielmann) Variation 	1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 Nf6 5. Nc3 Nc6 6. Bg5 Qb6
171	B14	Caro-Kann		Caro-Kann	Panov-Botvinnik attack, 5...e6	1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 Nf6 5. Nc3 e6
172	B14	Caro-Kann		Caro-Kann	Panov-Botvinnik attack, 5...g6	1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 Nf6 5. Nc3 g6
173	B15	Caro-Kann		Caro-Kann defense		1. e4 c6 2. d4 d5 3. Nc3
174	B15	Caro-Kann		Caro-Kann	Gurgenidze counter-attack	1. e4 c6 2. d4 d5 3. Nc3 b5
175	B15	Caro-Kann		Caro-Kann	Gurgenidze system	1. e4 c6 2. d4 d5 3. Nc3 g6
176	B15	Caro-Kann		Caro-Kann	Rasa-Studier gambit	1. e4 c6 2. d4 d5 3. Nc3 dxe4 4. f3
177	B15	Caro-Kann		Caro-Kann defense		1. e4 c6 2. d4 d5 3. Nc3 dxe4 4. Nxe4
178	B15	Caro-Kann		Caro-Kann	Alekhine gambit	1. e4 c6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nf6 5. Bd3
179	B15	Caro-Kann		Caro-Kann	Tartakower (Nimzovich) Variation 	1. e4 c6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nf6 5. Nxf6+ exf6
180	B15	Caro-Kann		Caro-Kann	Forgacs Variation 	1. e4 c6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nf6 5. Nxf6+ exf6 6. Bc4
181	B16	Caro-Kann		Caro-Kann	Bronstein-Larsen Variation 	1. e4 c6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nf6 5. Nxf6+ gxf6
